area,Charactertpe,dist,ene_speed,hero_speed,ene_mode,ene_success
terrain,enemy,158.33324,3,2,wander,FALSE
terrain,enemy,159.57985,3,2,wander,FALSE
terrain,enemy,160.84602,3,2,wander,FALSE
terrain,enemy,162.1312,3,2,wander,FALSE
terrain,enemy,163.43472,3,2,wander,FALSE
terrain,enemy,164.75616,3,2,wander,FALSE
terrain,enemy,166.09486,3,2,wander,FALSE
terrain,enemy,167.45035,3,2,wander,FALSE
terrain,enemy,168.82204,3,2,wander,FALSE
terrain,enemy,170.20943,3,2,wander,FALSE
terrain,enemy,171.61195,3,2,wander,FALSE
terrain,enemy,173.02917,3,2,wander,FALSE
terrain,enemy,174.46057,3,2,wander,FALSE
terrain,enemy,175.90569,3,2,wander,FALSE
terrain,enemy,177.36403,3,2,wander,FALSE
terrain,enemy,178.83511,3,2,wander,FALSE
terrain,enemy,180.3185,3,2,wander,FALSE
terrain,enemy,181.81377,3,2,wander,FALSE
terrain,enemy,183.32042,3,2,wander,FALSE
terrain,enemy,184.83806,3,2,wander,FALSE
terrain,enemy,186.36633,3,2,wander,FALSE
terrain,enemy,187.90474,3,2,wander,FALSE
terrain,enemy,189.45291,3,2,wander,FALSE
terrain,enemy,191.01051,3,2,wander,FALSE
terrain,enemy,192.57712,3,2,wander,FALSE
terrain,enemy,194.15239,3,2,wander,FALSE
terrain,enemy,195.73595,3,2,wander,FALSE
terrain,enemy,197.32745,3,2,wander,FALSE
terrain,enemy,198.9265,3,2,wander,FALSE
terrain,enemy,200.5328,3,2,wander,FALSE
terrain,enemy,202.14604,3,2,wander,FALSE
terrain,enemy,203.76588,3,2,wander,FALSE
terrain,enemy,205.392,3,2,wander,FALSE
terrain,enemy,207.02414,3,2,wander,FALSE
terrain,enemy,208.66194,3,2,wander,FALSE
terrain,enemy,210.30513,3,2,wander,FALSE
terrain,enemy,211.95343,3,2,wander,FALSE
terrain,enemy,213.6066,3,2,wander,FALSE
terrain,enemy,215.26431,3,2,wander,FALSE
terrain,enemy,216.9263,3,2,wander,FALSE
terrain,enemy,218.59235,3,2,wander,FALSE
terrain,enemy,220.26219,3,2,wander,FALSE
terrain,enemy,221.93556,3,2,wander,FALSE
terrain,enemy,223.6122,3,2,wander,FALSE
terrain,enemy,225.29193,3,2,wander,FALSE
terrain,enemy,226.97447,3,2,wander,FALSE
terrain,enemy,228.65965,3,2,wander,FALSE
terrain,enemy,230.34721,3,2,wander,FALSE
terrain,enemy,232.03696,3,2,wander,FALSE
terrain,enemy,233.72865,3,2,wander,FALSE
terrain,enemy,235.42209,3,2,wander,FALSE
terrain,enemy,237.11708,3,2,wander,FALSE
terrain,enemy,238.81343,3,2,wander,FALSE
terrain,enemy,240.51096,3,2,wander,FALSE
terrain,enemy,242.20947,3,2,wander,FALSE
terrain,enemy,243.90875,3,2,wander,FALSE
terrain,enemy,245.60866,3,2,wander,FALSE
terrain,enemy,247.30896,3,2,wander,FALSE
terrain,enemy,249.00954,3,2,wander,FALSE
terrain,enemy,250.7102,3,2,wander,FALSE
terrain,enemy,252.41078,3,2,wander,FALSE
terrain,enemy,254.11113,3,2,wander,FALSE
terrain,enemy,255.8111,3,2,wander,FALSE
terrain,enemy,257.5105,3,2,wander,FALSE
terrain,enemy,259.2092,3,2,wander,FALSE
terrain,enemy,260.90704,3,2,wander,FALSE
terrain,enemy,262.60388,3,2,wander,FALSE
terrain,enemy,264.29956,3,2,wander,FALSE
terrain,enemy,265.99396,3,2,wander,FALSE
terrain,enemy,267.68686,3,2,wander,FALSE
terrain,enemy,269.37823,3,2,wander,FALSE
terrain,enemy,271.06787,3,2,wander,FALSE
terrain,enemy,272.75568,3,2,wander,FALSE
terrain,enemy,274.4415,3,2,wander,FALSE
terrain,enemy,276.12524,3,2,wander,FALSE
terrain,enemy,277.8068,3,2,wander,FALSE
terrain,enemy,279.48596,3,2,wander,FALSE
terrain,enemy,281.1627,3,2,wander,FALSE
terrain,enemy,282.8368,3,2,wander,FALSE
terrain,enemy,284.5082,3,2,wander,FALSE
terrain,enemy,286.17682,3,2,wander,FALSE
terrain,enemy,287.8425,3,2,wander,FALSE
terrain,enemy,289.5052,3,2,wander,FALSE
terrain,enemy,291.16467,3,2,wander,FALSE
terrain,enemy,292.82092,3,2,wander,FALSE
terrain,enemy,294.47382,3,2,wander,FALSE
terrain,enemy,296.12326,3,2,wander,FALSE
terrain,enemy,297.76907,3,2,wander,FALSE
terrain,enemy,299.41125,3,2,wander,FALSE
terrain,enemy,301.04968,3,2,wander,FALSE
terrain,enemy,296.22406,3,2,seek,FALSE
terrain,enemy,294.15097,3,2,seek,FALSE
terrain,enemy,292.0885,3,2,seek,FALSE
terrain,enemy,290.03656,3,2,seek,FALSE
terrain,enemy,287.99524,3,2,seek,FALSE
terrain,enemy,285.96457,3,2,seek,FALSE
terrain,enemy,283.94452,3,2,seek,FALSE
terrain,enemy,281.93503,3,2,seek,FALSE
terrain,enemy,279.9362,3,2,seek,FALSE
terrain,enemy,277.94794,3,2,seek,FALSE
terrain,enemy,275.9703,3,2,seek,FALSE
terrain,enemy,274.0033,3,2,seek,FALSE
terrain,enemy,272.0469,3,2,seek,FALSE
terrain,enemy,270.1011,3,2,seek,FALSE
terrain,enemy,268.1659,3,2,seek,FALSE
terrain,enemy,266.24127,3,2,seek,FALSE
terrain,enemy,264.32724,3,2,seek,FALSE
terrain,enemy,262.42377,3,2,seek,FALSE
terrain,enemy,260.53085,3,2,seek,FALSE
terrain,enemy,258.6485,3,2,seek,FALSE
terrain,enemy,256.77664,3,2,seek,FALSE
terrain,enemy,254.91531,3,2,seek,FALSE
terrain,enemy,253.0645,3,2,seek,FALSE
terrain,enemy,251.22415,3,2,seek,FALSE
terrain,enemy,249.39427,3,2,seek,FALSE
terrain,enemy,247.57483,3,2,seek,FALSE
terrain,enemy,245.7658,3,2,seek,FALSE
terrain,enemy,243.96715,3,2,seek,FALSE
terrain,enemy,242.17888,3,2,seek,FALSE
terrain,enemy,240.40094,3,2,seek,FALSE
terrain,enemy,238.63333,3,2,seek,FALSE
terrain,enemy,236.87599,3,2,seek,FALSE
terrain,enemy,235.12889,3,2,seek,FALSE
terrain,enemy,233.39203,3,2,seek,FALSE
terrain,enemy,231.66533,3,2,seek,FALSE
terrain,enemy,229.94879,3,2,seek,FALSE
terrain,enemy,228.24236,3,2,seek,FALSE
terrain,enemy,226.546,3,2,seek,FALSE
